Product Name,Cleaned Description,processed_description,tokenized_description,sentiment_score,keyword_count,named_entities,pos_tags
Cloud Secure Agent,informatica cloud secure agent lightweight program runs tasks enables secure communication across firewall organization informatica intelligent cloud services,informatica secure agent lightweight program runs tasks enables secure communication across firewall organization informatica intelligent,"['informatica', 'secure', 'agent', 'lightweight', 'program', 'runs', 'tasks', 'enables', 'secure', 'communication', 'across', 'firewall', 'organization', 'informatica', 'intelligent']",0.5333333333333333,0,"(S
  informatica/JJ
  secure/NN
  agent/NN
  lightweight/JJ
  program/NN
  runs/VBZ
  tasks/NNS
  enables/VBZ
  secure/JJ
  communication/NN
  across/IN
  firewall/JJ
  organization/NN
  informatica/NN
  intelligent/NN)","[('informatica', 'JJ'), ('secure', 'NN'), ('agent', 'NN'), ('lightweight', 'JJ'), ('program', 'NN'), ('runs', 'VBZ'), ('tasks', 'NNS'), ('enables', 'VBZ'), ('secure', 'JJ'), ('communication', 'NN'), ('across', 'IN'), ('firewall', 'JJ'), ('organization', 'NN'), ('informatica', 'NN'), ('intelligent', 'NN')]"
MicroStrategy BI Platform,microstrategy platform supports interactive dashboards scorecards highly formatted reports ad hoc query thresholds alerts automated report distribution data discovery pixelperfect reporting automated distribution personalized dashboards machine learning applications big data mobile cloud bi hyperintelligence microstrategy offers one platform digital transformation covers,microstrategy supports interactive dashboards scorecards highly formatted reports ad hoc query thresholds alerts automated report distribution discovery pixelperfect reporting automated distribution personalized dashboards machine learning applications big mobile bi hyperintelligence microstrategy offers one digital transformation covers,"['microstrategy', 'supports', 'interactive', 'dashboards', 'scorecards', 'highly', 'formatted', 'reports', 'ad', 'hoc', 'query', 'thresholds', 'alerts', 'automated', 'report', 'distribution', 'discovery', 'pixelperfect', 'reporting', 'automated', 'distribution', 'personalized', 'dashboards', 'machine', 'learning', 'applications', 'big', 'mobile', 'bi', 'hyperintelligence', 'microstrategy', 'offers', 'one', 'digital', 'transformation', 'covers']",0.065,1,"(S
  microstrategy/NN
  supports/NNS
  interactive/JJ
  dashboards/NNS
  scorecards/NNS
  highly/RB
  formatted/VBN
  reports/NNS
  ad/NN
  hoc/NN
  query/NN
  thresholds/NNS
  alerts/NNS
  automated/VBD
  report/NN
  distribution/NN
  discovery/NN
  pixelperfect/NN
  reporting/NN
  automated/VBN
  distribution/NN
  personalized/VBN
  dashboards/NNS
  machine/NN
  learning/NN
  applications/NNS
  big/JJ
  mobile/JJ
  bi/NN
  hyperintelligence/NN
  microstrategy/NN
  offers/VBZ
  one/CD
  digital/NN
  transformation/NN
  covers/NNS)","[('microstrategy', 'NN'), ('supports', 'NNS'), ('interactive', 'JJ'), ('dashboards', 'NNS'), ('scorecards', 'NNS'), ('highly', 'RB'), ('formatted', 'VBN'), ('reports', 'NNS'), ('ad', 'NN'), ('hoc', 'NN'), ('query', 'NN'), ('thresholds', 'NNS'), ('alerts', 'NNS'), ('automated', 'VBD'), ('report', 'NN'), ('distribution', 'NN'), ('discovery', 'NN'), ('pixelperfect', 'NN'), ('reporting', 'NN'), ('automated', 'VBN'), ('distribution', 'NN'), ('personalized', 'VBN'), ('dashboards', 'NNS'), ('machine', 'NN'), ('learning', 'NN'), ('applications', 'NNS'), ('big', 'JJ'), ('mobile', 'JJ'), ('bi', 'NN'), ('hyperintelligence', 'NN'), ('microstrategy', 'NN'), ('offers', 'VBZ'), ('one', 'CD'), ('digital', 'NN'), ('transformation', 'NN'), ('covers', 'NNS')]"
Signature Services,signature services package key services including limited consulting customer success education services support designed support customer building successful foundation delivery qlik deployments,signature package key including limited consulting customer success education support designed support customer building successful foundation delivery qlik deployments,"['signature', 'package', 'key', 'including', 'limited', 'consulting', 'customer', 'success', 'education', 'support', 'designed', 'support', 'customer', 'building', 'successful', 'foundation', 'delivery', 'qlik', 'deployments']",0.24464285714285713,0,"(S
  signature/NN
  package/NN
  key/JJ
  including/VBG
  limited/JJ
  consulting/NN
  customer/NN
  success/NN
  education/NN
  support/NN
  designed/VBD
  support/NN
  customer/NN
  building/NN
  successful/JJ
  foundation/NN
  delivery/NN
  qlik/NN
  deployments/NNS)","[('signature', 'NN'), ('package', 'NN'), ('key', 'JJ'), ('including', 'VBG'), ('limited', 'JJ'), ('consulting', 'NN'), ('customer', 'NN'), ('success', 'NN'), ('education', 'NN'), ('support', 'NN'), ('designed', 'VBD'), ('support', 'NN'), ('customer', 'NN'), ('building', 'NN'), ('successful', 'JJ'), ('foundation', 'NN'), ('delivery', 'NN'), ('qlik', 'NN'), ('deployments', 'NNS')]"
VizLib,vizlib fully supported thirdparty visualisation component library developed exclusively qlik sense top powerful qlik engine api provide added features capabilities new visualisations enrich qlik sense user experience apps functionality,vizlib fully supported thirdparty visualisation component library developed exclusively qlik sense top powerful qlik engine api provide added features capabilities new visualisations enrich qlik sense user experience apps functionality,"['vizlib', 'fully', 'supported', 'thirdparty', 'visualisation', 'component', 'library', 'developed', 'exclusively', 'qlik', 'sense', 'top', 'powerful', 'qlik', 'engine', 'api', 'provide', 'added', 'features', 'capabilities', 'new', 'visualisations', 'enrich', 'qlik', 'sense', 'user', 'experience', 'apps', 'functionality']",0.25909090909090904,0,"(S
  vizlib/NN
  fully/RB
  supported/VBD
  thirdparty/JJ
  visualisation/NN
  component/NN
  library/NN
  developed/VBD
  exclusively/RB
  qlik/JJ
  sense/NN
  top/NN
  powerful/JJ
  qlik/JJ
  engine/NN
  api/NN
  provide/NN
  added/VBD
  features/NNS
  capabilities/VBZ
  new/JJ
  visualisations/NNS
  enrich/VBP
  qlik/JJ
  sense/NN
  user/NN
  experience/NN
  apps/NN
  functionality/NN)","[('vizlib', 'NN'), ('fully', 'RB'), ('supported', 'VBD'), ('thirdparty', 'JJ'), ('visualisation', 'NN'), ('component', 'NN'), ('library', 'NN'), ('developed', 'VBD'), ('exclusively', 'RB'), ('qlik', 'JJ'), ('sense', 'NN'), ('top', 'NN'), ('powerful', 'JJ'), ('qlik', 'JJ'), ('engine', 'NN'), ('api', 'NN'), ('provide', 'NN'), ('added', 'VBD'), ('features', 'NNS'), ('capabilities', 'VBZ'), ('new', 'JJ'), ('visualisations', 'NNS'), ('enrich', 'VBP'), ('qlik', 'JJ'), ('sense', 'NN'), ('user', 'NN'), ('experience', 'NN'), ('apps', 'NN'), ('functionality', 'NN')]"
PowerCenter Connector,informatica powercenter powerconnect adapters enterprise data integration platform accessing discovering integrating data different business systems,informatica powercenter powerconnect adapters enterprise integration accessing discovering integrating different systems,"['informatica', 'powercenter', 'powerconnect', 'adapters', 'enterprise', 'integration', 'accessing', 'discovering', 'integrating', 'different', 'systems']",0.0,0,"(S
  informatica/NN
  powercenter/NN
  powerconnect/NN
  adapters/NNS
  enterprise/VBP
  integration/NN
  accessing/VBG
  discovering/VBG
  integrating/VBG
  different/JJ
  systems/NNS)","[('informatica', 'NN'), ('powercenter', 'NN'), ('powerconnect', 'NN'), ('adapters', 'NNS'), ('enterprise', 'VBP'), ('integration', 'NN'), ('accessing', 'VBG'), ('discovering', 'VBG'), ('integrating', 'VBG'), ('different', 'JJ'), ('systems', 'NNS')]"
FiveTran Essential Platform,fivetran cloudbased business intelligence solution caters needs analysts data engineers business intelligence teams,fivetran cloudbased intelligence caters needs analysts engineers intelligence teams,"['fivetran', 'cloudbased', 'intelligence', 'caters', 'needs', 'analysts', 'engineers', 'intelligence', 'teams']",0.0,1,"(S
  fivetran/NN
  cloudbased/VBD
  intelligence/NN
  caters/NNS
  needs/VBZ
  analysts/NNS
  engineers/NNS
  intelligence/VBP
  teams/NNS)","[('fivetran', 'NN'), ('cloudbased', 'VBD'), ('intelligence', 'NN'), ('caters', 'NNS'), ('needs', 'VBZ'), ('analysts', 'NNS'), ('engineers', 'NNS'), ('intelligence', 'VBP'), ('teams', 'NNS')]"
Server,alteryx server helps govern analytic workflow processes models data help scheduled reporting dashboarding full access control policies builtin,alteryx server helps govern analytic workflow processes models help scheduled reporting dashboarding full access control policies builtin,"['alteryx', 'server', 'helps', 'govern', 'analytic', 'workflow', 'processes', 'models', 'help', 'scheduled', 'reporting', 'dashboarding', 'full', 'access', 'control', 'policies', 'builtin']",0.35,0,"(S
  alteryx/NN
  server/NN
  helps/VBZ
  govern/JJ
  analytic/JJ
  workflow/NN
  processes/VBZ
  models/NNS
  help/NN
  scheduled/VBN
  reporting/VBG
  dashboarding/VBG
  full/JJ
  access/NN
  control/NN
  policies/NNS
  builtin/VBP)","[('alteryx', 'NN'), ('server', 'NN'), ('helps', 'VBZ'), ('govern', 'JJ'), ('analytic', 'JJ'), ('workflow', 'NN'), ('processes', 'VBZ'), ('models', 'NNS'), ('help', 'NN'), ('scheduled', 'VBN'), ('reporting', 'VBG'), ('dashboarding', 'VBG'), ('full', 'JJ'), ('access', 'NN'), ('control', 'NN'), ('policies', 'NNS'), ('builtin', 'VBP')]"
ThoughtSpot,bi tool used search based analytics business intelligence analytics search software,bi tool used search based analytics intelligence analytics search software,"['bi', 'tool', 'used', 'search', 'based', 'analytics', 'intelligence', 'analytics', 'search', 'software']",0.0,2,"(S
  bi/NN
  tool/NN
  used/VBN
  search/NN
  based/VBN
  analytics/NNS
  intelligence/NN
  analytics/NNS
  search/VBP
  software/NN)","[('bi', 'NN'), ('tool', 'NN'), ('used', 'VBN'), ('search', 'NN'), ('based', 'VBN'), ('analytics', 'NNS'), ('intelligence', 'NN'), ('analytics', 'NNS'), ('search', 'VBP'), ('software', 'NN')]"
Hyperion BI Analysis Fee,hyperion bi development analysis fee support wireless bb public sector reporting tables,hyperion bi development analysis fee support wireless bb public sector reporting tables,"['hyperion', 'bi', 'development', 'analysis', 'fee', 'support', 'wireless', 'bb', 'public', 'sector', 'reporting', 'tables']",0.0,0,"(S
  hyperion/NN
  bi/NN
  development/NN
  analysis/NN
  fee/NN
  support/NN
  wireless/NN
  bb/IN
  public/JJ
  sector/NN
  reporting/NN
  tables/NNS)","[('hyperion', 'NN'), ('bi', 'NN'), ('development', 'NN'), ('analysis', 'NN'), ('fee', 'NN'), ('support', 'NN'), ('wireless', 'NN'), ('bb', 'IN'), ('public', 'JJ'), ('sector', 'NN'), ('reporting', 'NN'), ('tables', 'NNS')]"
Domo Business Cloud,domo business cloud lets integrate data source turn data live visualizations extend bi apps empower team data domo inc cloudbased platform designed provide direct simplified realtime access business data decision makers across company minimal involvement softwareasaservice saas venture domo integrates multiple data sources including spreadsheets databases social media cloudbased onpremise software programs,domo lets integrate source turn live visualizations extend bi apps empower team domo inc cloudbased designed provide direct simplified realtime access decision makers across company minimal involvement softwareasaservice saas venture domo integrates multiple sources including spreadsheets databases social media cloudbased onpremise software programs,"['domo', 'lets', 'integrate', 'source', 'turn', 'live', 'visualizations', 'extend', 'bi', 'apps', 'empower', 'team', 'domo', 'inc', 'cloudbased', 'designed', 'provide', 'direct', 'simplified', 'realtime', 'access', 'decision', 'makers', 'across', 'company', 'minimal', 'involvement', 'softwareasaservice', 'saas', 'venture', 'domo', 'integrates', 'multiple', 'sources', 'including', 'spreadsheets', 'databases', 'social', 'media', 'cloudbased', 'onpremise', 'software', 'programs']",0.033939393939393936,2,"(S
  domo/NN
  lets/NNS
  integrate/VBP
  source/NN
  turn/NN
  live/JJ
  visualizations/NNS
  extend/VBP
  bi/JJ
  apps/NN
  empower/NN
  team/NN
  domo/NN
  inc/NN
  cloudbased/VBD
  designed/VBN
  provide/IN
  direct/JJ
  simplified/VBD
  realtime/JJ
  access/NN
  decision/NN
  makers/NNS
  across/IN
  company/NN
  minimal/JJ
  involvement/NN
  softwareasaservice/NN
  saas/JJ
  venture/NN
  domo/NN
  integrates/VBZ
  multiple/JJ
  sources/NNS
  including/VBG
  spreadsheets/NNS
  databases/VBZ
  social/JJ
  media/NNS
  cloudbased/VBD
  onpremise/NN
  software/NN
  programs/NNS)","[('domo', 'NN'), ('lets', 'NNS'), ('integrate', 'VBP'), ('source', 'NN'), ('turn', 'NN'), ('live', 'JJ'), ('visualizations', 'NNS'), ('extend', 'VBP'), ('bi', 'JJ'), ('apps', 'NN'), ('empower', 'NN'), ('team', 'NN'), ('domo', 'NN'), ('inc', 'NN'), ('cloudbased', 'VBD'), ('designed', 'VBN'), ('provide', 'IN'), ('direct', 'JJ'), ('simplified', 'VBD'), ('realtime', 'JJ'), ('access', 'NN'), ('decision', 'NN'), ('makers', 'NNS'), ('across', 'IN'), ('company', 'NN'), ('minimal', 'JJ'), ('involvement', 'NN'), ('softwareasaservice', 'NN'), ('saas', 'JJ'), ('venture', 'NN'), ('domo', 'NN'), ('integrates', 'VBZ'), ('multiple', 'JJ'), ('sources', 'NNS'), ('including', 'VBG'), ('spreadsheets', 'NNS'), ('databases', 'VBZ'), ('social', 'JJ'), ('media', 'NNS'), ('cloudbased', 'VBD'), ('onpremise', 'NN'), ('software', 'NN'), ('programs', 'NNS')]"
