product_name,vendor_name,taxonomy_category,taxonomy_sub_category,product_description
Cloud Secure Agent,INFORMATICA LLC,BI & Data Analytics,Data Governance,The Informatica Cloud Secure Agent is a lightweight program that runs all tasks and enables secure communication across the firewall between your organization and. Informatica Intelligent Cloud Services
MicroStrategy BI Platform,MICROSTRATEGY SERVICES CORP,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"The MicroStrategy platform supports interactive dashboards, scorecards, highly formatted reports, ad hoc query, thresholds and alerts, and automated report distribution.
From data discovery, to pixel-perfect reporting, automated distribution, personalized dashboards, machine learning applications, big data, mobile and cloud BI, and HyperIntelligence, MicroStrategy offers one platform for digital transformation that covers it all."
Signature Services,QLIKTECH INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"The Signature Services is a package of key services including but not limi]ted to; consulting, customer success, education services, and support that are designed to support Customer in building a successful foundation for the delivery of a Qlik deployment(s)."
VizLib,QLIKTECH INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Vizlib is a fully supported third-party visualisation and component library developed exclusively for Qlik Sense and on top of the powerful Qlik Engine API. We provide added features, capabilities and new visualisations to enrich your Qlik Sense user experience and app's functionality."
PowerCenter Connector,ORACLE,BI & Data Analytics,Data Movement Management,"Informatica PowerCenter and PowerConnect Adapters is an enterprise data integration platform for accessing, discovering, and integrating data from different business systems."
FiveTran Essential Platform,FIVETRAN,BI & Data Analytics,Data Movement Management,"Fivetran is a cloud-based business intelligence solution which caters to needs of analysts, data engineers and business intelligence teams"
Server,ALTERYX INC,BI & Data Analytics,Data Movement Management,"Alteryx Server helps govern analytic workflow processes, models and data. They help scheduled reporting, dashboarding with full access control policies built-in"
ThoughtSpot,THOUGHTSPOT INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,BI tool used for search based analytics. Business intelligence analytics search software
Hyperion BI Analysis Fee,KURT STECKEL,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,Hyperion BI Development Analysis fee in support of Wireless B2B and Public Sector reporting and tables.
Domo Business Cloud,DOMO INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"The Domo Business Cloud lets you integrate data from any source, turn data into live visualizations, and extend BI into apps that empower your team with data. Domo, Inc is a cloud-based platform designed to provide direct, simplified, real-time access to business data for decision makers across the company with minimal IT involvement. It is a software-as-a-service (SaaS) venture. Domo integrates with multiple data sources, including spreadsheets, databases, social media and other cloud-based or on-premise software programs."
Looker Analytics,LOOKER DATA SCIENCES INC,BI & Data Analytics,Self-Serve Visualization & Ent. Reporting,"Analytics platform that lets everyone in your business make informed decisions. Looker is a Business Intelligence platform that is active, agile, and collaborative - built to extend data discovery functionality to everyone in the organization to make decisions based on real-time facts."
Firehose,AMAZON WEB SERVICES,BI & Data Analytics,Data Movement Management,Amazon Kinesis Data Firehose is a fully managed service for delivering real-time streaming data to destinations such as Amazon Simple Storage Service
Glue,AMAZON WEB SERVICES,BI & Data Analytics,Data Movement Management,"AWS Glue is a fully managed extract, transform, and load (ETL) service that makes it easy for customers to prepare and load their data for analytics."
